v-wartales_v131072.nfo	a7657f07
v-wartales_v131072.r00	139ff118
v-wartales_v131072.r01	b18626e0
v-wartales_v131072.r02	44f32925
v-wartales_v131072.r03	0ba1ad9d
v-wartales_v131072.r04	5106b7ed
v-wartales_v131072.r05	ae2ce356
v-wartales_v131072.r06	37d02e3a
v-wartales_v131072.r07	d125d99e
v-wartales_v131072.r08	4a257b5c
v-wartales_v131072.r09	8ef8d24b
v-wartales_v131072.r10	74e32f63
v-wartales_v131072.r11	b9804e4f
v-wartales_v131072.r12	0b72f348
v-wartales_v131072.r13	a871bfca
v-wartales_v131072.r14	a37eeabf
v-wartales_v131072.r15	49b757ea
v-wartales_v131072.rar	7f23d820
v-wartales_v131072.sfv	a99fb51d
