hr-awfsg.nfo	c02c2f02
hr-awfsg.r00	333adcee
hr-awfsg.r01	16963361
hr-awfsg.r02	ff2a2efd
hr-awfsg.r03	4934d5f2
hr-awfsg.r04	04036ccb
hr-awfsg.r05	701bd60b
hr-awfsg.r06	dbb7757b
hr-awfsg.r07	55eb5e59
hr-awfsg.r08	187c64c1
hr-awfsg.r09	7b993331
hr-awfsg.r10	a29cd085
hr-awfsg.r11	139debce
hr-awfsg.r12	e8c95ffe
hr-awfsg.r13	88fb1cc5
hr-awfsg.r14	7810a088
hr-awfsg.r15	cb67ea37
hr-awfsg.r16	d8f4e3bf
hr-awfsg.r17	79fcdb04
hr-awfsg.r18	5e423407
hr-awfsg.r19	cd8c8353
hr-awfsg.r20	c30bc4c8
hr-awfsg.r21	192fa8d6
hr-awfsg.r22	3a265456
hr-awfsg.r23	a5e2b1e6
hr-awfsg.r24	114e03d2
hr-awfsg.r25	dfb8f50e
hr-awfsg.r26	bc14ffca
hr-awfsg.r27	a625bd5f
hr-awfsg.r28	447c80ed
hr-awfsg.r29	24ab1257
hr-awfsg.r30	c56576b4
hr-awfsg.r31	4622fa45
hr-awfsg.r32	740c767b
hr-awfsg.r33	be44b025
hr-awfsg.r34	2d4217aa
hr-awfsg.r35	6036b2bd
hr-awfsg.r36	cf656b9d
hr-awfsg.r37	ba8f95d9
hr-awfsg.r38	749c7cce
hr-awfsg.r39	bfdbd8a9
hr-awfsg.r40	4878b974
hr-awfsg.r41	464e868b
hr-awfsg.r42	3817c3c2
hr-awfsg.r43	b5175ab9
hr-awfsg.r44	93e6d7d7
hr-awfsg.r45	5e4c9ee0
hr-awfsg.r46	c1c902fc
hr-awfsg.r47	feb6f32f
hr-awfsg.r48	2bc07d5d
hr-awfsg.r49	e2744888
hr-awfsg.r50	f05a425b
hr-awfsg.r51	17acb245
hr-awfsg.r52	e277cd75
hr-awfsg.r53	1ab912e7
hr-awfsg.r54	e729337a
hr-awfsg.r55	a81cfce8
hr-awfsg.r56	0e03a83d
hr-awfsg.r57	3a0c6995
hr-awfsg.r58	84b4edbf
hr-awfsg.r59	c2c11c3b
hr-awfsg.r60	4aff7d43
hr-awfsg.r61	bf7faa0b
hr-awfsg.r62	4ccc1e94
hr-awfsg.r63	5c918948
hr-awfsg.r64	81558d91
hr-awfsg.r65	45e7f9bd
hr-awfsg.r66	4d9a9c34
hr-awfsg.r67	96ed1351
hr-awfsg.r68	b1e60364
hr-awfsg.r69	15aa083c
hr-awfsg.r70	dfa7e6b2
hr-awfsg.r71	eda96957
hr-awfsg.r72	3f97b2b7
hr-awfsg.r73	1532e302
hr-awfsg.r74	638b1acc
hr-awfsg.rar	f10f6f30
hr-awfsg.sfv	a8cd2c6d
Proof	00000000
Proof/hr-awfsg.jpg	ab8459c0
