sxs-osm_v393216.nfo	c29fd9c6
sxs-osm_v393216.r00	b791daec
sxs-osm_v393216.r01	b3921235
sxs-osm_v393216.r02	41e543bf
sxs-osm_v393216.r03	b99efe49
sxs-osm_v393216.r04	8052cbe7
sxs-osm_v393216.r05	37defa3a
sxs-osm_v393216.r06	5e861517
sxs-osm_v393216.r07	722e9cd8
sxs-osm_v393216.r08	ffef23cb
sxs-osm_v393216.r09	18fbdc6a
sxs-osm_v393216.r10	4c2be3f6
sxs-osm_v393216.r11	4b0d55a0
sxs-osm_v393216.r12	e9811755
sxs-osm_v393216.r13	b425c10f
sxs-osm_v393216.r14	442e2f6d
sxs-osm_v393216.r15	22ece35d
sxs-osm_v393216.r16	b5e149ed
sxs-osm_v393216.rar	d688cbb7
sxs-osm_v393216.sfv	3f7acc4c
