v-fallen_legion_revenants_v524288.nfo	0866203f
v-fallen_legion_revenants_v524288.r00	780c60ee
v-fallen_legion_revenants_v524288.r01	a05c4f69
v-fallen_legion_revenants_v524288.r02	4930a0db
v-fallen_legion_revenants_v524288.r03	e68b61be
v-fallen_legion_revenants_v524288.r04	a2fa5125
v-fallen_legion_revenants_v524288.r05	cb264917
v-fallen_legion_revenants_v524288.r06	346fd8db
v-fallen_legion_revenants_v524288.r07	d2ab08bb
v-fallen_legion_revenants_v524288.r08	8011eaf3
v-fallen_legion_revenants_v524288.r09	b5308a1b
v-fallen_legion_revenants_v524288.r10	a557acb6
v-fallen_legion_revenants_v524288.r11	91e99f2a
v-fallen_legion_revenants_v524288.r12	31bff145
v-fallen_legion_revenants_v524288.r13	7ea93647
v-fallen_legion_revenants_v524288.r14	e7dae052
v-fallen_legion_revenants_v524288.r15	755d3726
v-fallen_legion_revenants_v524288.r16	38e9d3f5
v-fallen_legion_revenants_v524288.r17	0621b7f6
v-fallen_legion_revenants_v524288.r18	e64167b5
v-fallen_legion_revenants_v524288.r19	174d056f
v-fallen_legion_revenants_v524288.rar	9cdda979
v-fallen_legion_revenants_v524288.sfv	e5d365be
