sxs-fuser_v393216.nfo	0580b8f2
sxs-fuser_v393216.r00	7fb9ef87
sxs-fuser_v393216.r01	c71216b9
sxs-fuser_v393216.r02	e3b1ecba
sxs-fuser_v393216.r03	1cdcbdb1
sxs-fuser_v393216.r04	2190f413
sxs-fuser_v393216.r05	847a5e93
sxs-fuser_v393216.r06	9f442f63
sxs-fuser_v393216.r07	b4ee1bc2
sxs-fuser_v393216.r08	38498b26
sxs-fuser_v393216.r09	ce5d5376
sxs-fuser_v393216.r10	aac6c334
sxs-fuser_v393216.r11	b5ec5832
sxs-fuser_v393216.r12	6dccf481
sxs-fuser_v393216.r13	8bb99e8a
sxs-fuser_v393216.r14	0d51551d
sxs-fuser_v393216.r15	0adbcbed
sxs-fuser_v393216.r16	469be641
sxs-fuser_v393216.r17	aa91e01c
sxs-fuser_v393216.r18	9c5fa018
sxs-fuser_v393216.r19	84e87c24
sxs-fuser_v393216.r20	1c0cceba
sxs-fuser_v393216.r21	8615dc21
sxs-fuser_v393216.r22	0088ee90
sxs-fuser_v393216.r23	ad52ba0a
sxs-fuser_v393216.rar	b5b3624b
sxs-fuser_v393216.sfv	42e3087e
