sxs-koloro_v131072.nfo	c313fc1c
sxs-koloro_v131072.r00	7ea16263
sxs-koloro_v131072.r01	97212ce6
sxs-koloro_v131072.r02	1ae3a936
sxs-koloro_v131072.r03	f100469d
sxs-koloro_v131072.r04	83566145
sxs-koloro_v131072.r05	b4a02ece
sxs-koloro_v131072.r06	fdaa3cd1
sxs-koloro_v131072.r07	59b04fd5
sxs-koloro_v131072.r08	8d0d7339
sxs-koloro_v131072.r09	0a45c8af
sxs-koloro_v131072.r10	0c7974c2
sxs-koloro_v131072.r11	003d14df
sxs-koloro_v131072.r12	55d1b597
sxs-koloro_v131072.r13	cb997fc4
sxs-koloro_v131072.r14	68248455
sxs-koloro_v131072.r15	1d8e2952
sxs-koloro_v131072.r16	d3042d5c
sxs-koloro_v131072.r17	e8ce7d0e
sxs-koloro_v131072.rar	86772464
sxs-koloro_v131072.sfv	763f970a
